Date,Open,High,Low,Close,Adj Close,Volume
2014-01-20,452.5,452.5,443,443.924988,390.670868,42368
2014-01-21,442.549988,449.625,437.549988,439.850006,387.084686,91158
2014-01-22,437.674988,442,433.524994,437,384.576569,139710
2014-01-23,437.524994,443.5,435,436.325012,383.982483,40168
2014-01-24,435.049988,438.899994,429.875,432.600006,380.704376,58920
2014-01-27,430.075012,430.100006,420.100006,425.524994,374.478119,111788
2014-01-28,425,436,425,432.799988,380.880371,60206
2014-01-29,437.149994,437.149994,427.700012,434.200012,382.112457,50380
2014-01-30,433,437.350006,423.149994,434.899994,382.728455,41242
2014-01-31,436.850006,442.5,431.899994,441.274994,388.338684,103232
2014-02-03,442.5,445.524994,440.125,443.049988,389.900787,86688
2014-02-04,441.075012,442.350006,433,437.350006,384.884583,26086
2014-02-05,439.924988,439.924988,433,435.100006,382.904449,21390
2014-02-06,437.5,446,435.549988,443.600006,390.384766,35704
2014-02-07,446.375,454,443.674988,450.399994,396.369049,85040
2014-02-10,452.5,459.5,451.5,455.100006,400.505249,125062
2014-02-11,457.350006,459.399994,448.174988,450.649994,396.589081,32498
2014-02-12,453,454.975006,451.575012,452.875,398.547089,65492
2014-02-13,454,455,447.649994,449.700012,395.753021,240502
2014-02-14,452.950012,455.975006,445.524994,451.299988,397.161072,302986
2014-02-17,460.5,460.950012,446,450.274994,396.259003,210380
2014-02-18,450,460.950012,449.200012,456.524994,401.759308,215794
2014-02-19,458.5,461.125,453.600006,457.674988,402.771271,118868
2014-02-20,457.950012,457.950012,449.5,452.475006,398.195129,155252
2014-02-21,453,455.75,446.25,447.799988,394.080963,46476
2014-02-24,448.5,451.5,443.049988,445.375,391.946838,62362
2014-02-25,446.049988,450,445.049988,447.575012,393.882935,71470
2014-02-26,450,450,441.075012,443.299988,390.120789,221554
2014-02-28,449.875,449.875,441.149994,444.200012,390.912811,67702
2014-03-03,449.5,449.5,431.450012,433.149994,381.188385,363658
2014-03-04,433.149994,440,430.549988,432.350006,380.484344,219866
2014-03-05,434.850006,449,434.5,445.524994,392.078857,178314
2014-03-06,443.149994,447.924988,435.049988,442.174988,389.130768,77346
2014-03-07,442.174988,445.975006,435,437.450012,384.972595,66682
